acc_no,wrng_mode_cd,span,wire_knd_cd,wire_spec_cd,wire_lico,newi_knd_cd,newi_spec_cd
477620224661,13,47,AO,35.0,1,AL,32.0
477620224661,13,38,AO,35.0,1,AL,32.0
477620224672,13,13,AO,35.0,1,AL,32.0
477620224680,13,11,AO,35.0,1,AL,32.0
477620233026,13,46,AO,35.0,1,AL,32.0
477620233028,13,62,AO,35.0,1,AL,32.0
477620233030,13,26,OW,22.0,1,WO,22.0
477620233030,13,8,OW,22.0,1,WO,22.0
477620233030,13,45,OW,22.0,1,WO,22.0
477620233032,13,38,AO,35.0,1,AL,32.0
477620233035,13,38,AO,35.0,1,AL,32.0
477620233035,13,31,AO,35.0,1,AL,32.0
477620233037,13,55,C2,25.0,1,ZZ,0.0
477620233062,13,16,AO,35.0,1,AL,32.0
477620233065,13,40,AO,35.0,1,AL,32.0
477620233091,13,30,AO,35.0,1,AL,32.0
477620233095,13,35,AO,35.0,1,AL,32.0
477620233096,13,24,OW,22.0,1,WO,22.0
477620233096,13,36,OW,22.0,1,AL,95.0
477620233097,13,34,AO,35.0,1,AL,95.0
477620233097,13,41,AO,35.0,1,AL,32.0
477620233097,13,44,AO,35.0,1,AL,32.0
477620233097,13,69,AO,35.0,1,AL,95.0
477620233097,13,20,AO,35.0,1,AL,32.0
477620233115,13,30,AO,35.0,1,AL,32.0
477620233134,13,9,AO,35.0,1,AL,32.0
477620233143,13,19,AO,35.0,1,AL,32.0
477620233144,43,32,AO,35.0,3,AL,32.0
477620233146,13,14,AO,35.0,1,AL,32.0
477620233147,13,63,AO,35.0,1,AL,32.0
477620233163,13,30,AO,35.0,1,AL,32.0
477620233164,13,56,C2,25.0,1,ZZ,0.0
477620233165,13,43,AO,35.0,1,AL,58.0
477620233165,13,26,AO,35.0,1,AL,32.0
477620233165,13,35,AO,35.0,1,AL,32.0
477620233165,13,61,AO,35.0,1,AL,58.0
477620233165,13,33,AO,35.0,1,AL,58.0
477620233174,13,39,AO,35.0,1,AL,32.0
477620233182,13,48,AO,35.0,1,AL,32.0
477620233182,13,62,AO,35.0,1,AL,32.0
477620233182,13,30,AO,35.0,1,AL,32.0
477620233210,13,38,AO,35.0,1,AL,32.0
477620233210,13,27,AO,35.0,1,AL,32.0
477620233211,13,42,AO,35.0,1,AL,32.0
477620233211,13,55,AO,35.0,1,AL,32.0
477620233218,13,61,OW,22.0,1,WO,22.0
477620233275,13,57,AO,35.0,1,AL,32.0
477620233275,13,78,AO,35.0,1,AL,32.0
477620233276,13,63,AO,35.0,1,AL,32.0
477620233276,13,37,AO,35.0,1,AL,32.0
477620233276,13,63,AO,35.0,1,AL,32.0
477620233276,13,61,AO,35.0,1,AL,32.0
477620233280,13,49,D2,3.2,1,ZZ,0.0
477620233280,13,29,D2,3.2,1,ZZ,0.0
477620233281,13,17,AO,35.0,1,AL,32.0
477620233281,13,66,AO,35.0,1,AL,32.0
477620233282,13,32,AO,35.0,1,AL,32.0
477620233299,13,26,OW,22.0,1,WO,22.0
477620233301,13,24,AO,35.0,1,AL,58.0
477620233301,13,32,AO,35.0,1,AL,32.0
477620233301,13,58,OC,32.0,1,AL,58.0
477620233315,43,52,AO,35.0,3,AL,32.0
477620233316,13,35,OW,22.0,1,WO,22.0
477620233317,43,31,C4,25.0,1,ZZ,0.0
477620233317,43,32,C4,25.0,1,ZZ,0.0
477620233345,13,31,AO,35.0,1,AL,32.0
477620233359,43,30,AO,35.0,3,AL,32.0
477620233362,13,66,AO,35.0,1,AL,32.0
477620233363,13,52,AO,35.0,1,AL,32.0
477620233363,13,37,AO,35.0,1,AL,32.0
477620233365,13,20,AO,35.0,1,AL,32.0
477620233368,13,52,AO,35.0,1,AL,32.0
477620233368,13,42,AO,35.0,1,AL,32.0
477620233376,13,45,OW,22.0,1,WO,22.0
477620233377,13,33,AO,35.0,1,AL,32.0
477620233379,43,23,AO,35.0,3,AL,32.0
477620233390,13,23,C2,25.0,1,ZZ,0.0
477620233391,13,52,OW,22.0,1,WO,22.0
477620233391,13,34,OW,22.0,1,WO,22.0
477620233398,43,30,AO,35.0,3,AL,32.0
477620233398,43,44,AO,35.0,3,AL,32.0
477620233400,13,29,AO,35.0,1,AL,32.0
477620233400,13,29,AO,35.0,1,AL,58.0
477620233400,13,33,AO,35.0,1,AL,58.0
477620233400,13,34,AO,35.0,1,AL,58.0
477620233407,13,24,AO,35.0,1,AL,32.0
477620233409,13,30,D2,3.2,1,ZZ,0.0
477620233409,13,40,AO,35.0,1,AL,32.0
477620233409,13,30,D2,3.2,1,ZZ,0.0
477620233430,13,27,AO,35.0,1,AL,32.0
477620233433,13,18,AO,35.0,1,AL,32.0
477620233443,43,11,OW,22.0,3,WO,22.0
477620233444,13,12,AO,35.0,1,AL,32.0
477620233448,13,34,AO,35.0,1,AL,32.0
477620233448,13,40,AO,35.0,1,AL,32.0
477620233463,13,28,AO,35.0,1,AL,32.0
477620233463,13,38,AO,35.0,1,AL,32.0
477620233489,13,51,AO,35.0,1,AL,95.0
477620233489,13,46,AO,35.0,1,AL,32.0
477620233489,13,40,AO,35.0,1,AL,32.0
477620233490,43,62,AO,35.0,3,AL,58.0
477620233490,43,12,AO,35.0,3,AL,32.0
477620233490,43,44,AO,35.0,3,AL,58.0
477620233496,13,63,AO,35.0,1,AL,32.0
477620233500,13,37,AO,35.0,1,AL,32.0
477620233502,43,26,AO,35.0,3,AL,32.0
477620233507,13,61,AO,35.0,1,AL,32.0
477620233510,13,12,AO,35.0,1,AL,32.0
477620233511,13,19,OW,22.0,1,WO,22.0
477620233511,13,57,OW,22.0,1,WO,22.0
477620233511,13,38,OW,22.0,1,WO,22.0
477620233526,13,7,AO,35.0,1,AL,32.0
477620233527,13,12,AO,35.0,1,AL,32.0
477620233528,13,31,AO,35.0,1,AL,32.0
477620233555,13,35,C2,25.0,1,ZZ,0.0
477620233556,13,55,AO,35.0,1,AL,95.0
477620233556,13,38,AO,35.0,1,AL,32.0
477620233556,13,54,AO,35.0,1,AL,95.0
477620233556,13,48,AO,35.0,1,AL,32.0
477620233556,13,60,AO,35.0,1,AL,32.0
477620233592,13,40,AO,35.0,1,AL,32.0
477620233592,13,36,AO,35.0,1,AL,32.0
477620233626,13,60,AO,35.0,1,AL,32.0
477620233630,13,30,AO,35.0,1,AL,32.0
477620233656,13,43,OW,22.0,1,WO,22.0
477620233660,13,29,OW,22.0,1,WO,22.0
477620233660,13,51,OW,22.0,1,WO,22.0
477620233671,13,17,AO,35.0,1,AL,32.0
477620233690,13,38,AO,35.0,1,AL,32.0
477620233702,13,51,AO,35.0,1,AL,32.0
477620233702,13,43,AO,35.0,1,AL,32.0
477620233702,13,54,AO,35.0,1,AL,32.0
477620233702,13,42,AO,35.0,1,AL,32.0
477620233711,13,49,AO,35.0,1,AL,32.0
477620233734,43,42,OW,38.0,3,WO,22.0
477620233742,13,34,OW,22.0,1,WO,22.0
477620233754,13,19,AO,35.0,1,AL,32.0
477620233755,13,45,AO,35.0,1,AL,32.0
475920183953,43,53,OW,22.0,3,WO,22.0
475920183953,43,30,OW,22.0,3,WO,22.0
475920193479,13,57,AO,35.0,1,AL,32.0
475920193479,13,46,AO,35.0,1,AL,32.0
475920193915,43,21,C4,25.0,1,ZZ,0.0
475920193915,13,51,AO,35.0,1,AL,32.0
475920193915,43,33,C4,25.0,1,ZZ,0.0
475920193990,43,35,OW,22.0,3,WO,22.0
475920193990,43,53,OW,22.0,3,WO,22.0
475920193990,43,43,OW,22.0,3,WO,22.0
475920193990,43,37,OW,22.0,3,WO,22.0
475920203005,43,44,AO,35.0,3,AL,95.0
475920203005,43,46,AO,35.0,3,AL,32.0
475920203005,43,50,AO,35.0,3,AL,32.0
475920203005,43,50,AO,35.0,3,AL,32.0
475920203005,43,30,AO,35.0,3,AL,32.0
475920203005,43,46,AO,35.0,3,AL,58.0
475920203171,43,54,AO,35.0,3,AL,58.0
475920203171,43,40,AO,35.0,3,AL,32.0
475920203171,43,47,AO,35.0,3,ZZ,0.0
475920203185,43,48,OW,22.0,3,WO,22.0
475920203185,43,54,OW,22.0,3,AL,95.0
475920203185,43,27,OW,22.0,3,WO,22.0
475920203190,13,42,AO,35.0,1,AL,32.0
475920203190,13,52,C2,25.0,1,ZZ,0.0
475920203190,13,40,C2,25.0,1,ZZ,0.0
475920203190,13,43,AO,35.0,1,AL,32.0
475920203190,13,30,C2,25.0,1,ZZ,0.0
475920203190,13,26,C2,25.0,1,ZZ,0.0
475920203191,13,22,C2,25.0,1,ZZ,0.0
475920203191,13,43,C2,25.0,1,ZZ,0.0
475920203191,13,50,C2,25.0,1,ZZ,0.0
475920203231,43,49,OW,38.0,3,WO,22.0
475920203231,43,33,OW,38.0,3,WO,22.0
475920203231,43,35,OW,38.0,3,WO,22.0
475920203231,43,38,OW,38.0,3,WO,22.0
475920203236,13,45,D2,3.2,1,ZZ,0.0
475920203236,13,40,D2,3.2,1,ZZ,0.0
475920203236,13,45,AO,35.0,1,AL,32.0
475920203236,13,55,AO,35.0,1,AL,32.0
475920203242,13,53,AO,35.0,1,AL,32.0
475920203242,13,35,OC,58.0,1,AL,58.0
475920203242,13,35,AO,35.0,1,AL,32.0
475920203244,13,55,AO,35.0,1,AL,32.0
475920203245,43,24,OW,22.0,3,WO,22.0
475920203245,43,22,OW,22.0,3,WO,22.0
475920203245,43,42,OW,22.0,3,WO,22.0
475920203247,13,32,AO,35.0,1,AL,32.0
475920203251,13,35,AO,35.0,1,AL,32.0
475920203258,13,61,OC,58.0,1,AL,58.0
475920203258,13,41,OC,58.0,1,AL,58.0
475920203258,13,22,AO,35.0,1,AL,32.0
475920203271,43,40,OW,22.0,3,WO,22.0
475920203271,43,52,OW,22.0,3,WO,22.0
475920203271,43,50,OW,22.0,3,WO,22.0
475920203294,43,28,OW,22.0,3,WO,22.0
475920203294,43,28,OW,22.0,3,WO,22.0
475920203296,13,38,AO,35.0,1,AL,32.0
475920203296,13,15,AO,35.0,1,AL,32.0
475920203297,13,20,AO,35.0,1,AL,32.0
475920203305,13,28,OW,60.0,1,OW,60.0
475920203305,13,37,C2,25.0,1,ZZ,0.0
475920203306,13,44,AO,35.0,1,AL,32.0
475920203306,13,50,AO,35.0,1,AL,32.0
475920203315,13,40,AO,35.0,1,AL,32.0
475920203318,13,26,AO,35.0,1,AL,32.0
475920203318,13,41,AO,35.0,1,AL,32.0
475920203343,13,10,AO,35.0,1,AL,32.0
475920203362,13,40,AO,35.0,1,AL,32.0
475920203370,13,34,C2,25.0,1,ZZ,0.0
475920203370,13,48,C2,25.0,1,ZZ,0.0
475920203414,13,36,AO,35.0,1,AL,32.0
475920203427,13,38,AO,35.0,1,AL,32.0
475920203427,13,39,AO,35.0,1,AL,32.0
475920203427,13,43,AO,35.0,1,AL,32.0
475920203438,13,37,AO,35.0,1,AL,32.0
475920203445,13,48,AO,35.0,1,AL,32.0
475920203469,43,17,AO,35.0,3,AL,32.0
475920203472,43,17,OW,38.0,3,WO,38.0
475920203472,43,45,OW,38.0,3,WO,38.0
475920203472,43,60,C4,35.0,1,ZZ,0.0
475920203472,43,50,OW,38.0,3,WO,38.0
475920203472,43,31,OW,38.0,3,WO,38.0
475920203472,43,46,OW,38.0,3,WO,38.0
475920203477,13,17,OW,22.0,1,WO,22.0
475920203484,43,49,AO,35.0,3,AL,32.0
475920203484,43,52,AO,35.0,3,AL,32.0
475920203501,13,58,C2,25.0,1,ZZ,0.0
475920203501,13,67,AO,35.0,1,AL,32.0
475920203521,13,43,AO,35.0,1,AL,32.0
475920203521,13,55,AO,35.0,1,AL,32.0
475920203522,13,41,AO,35.0,1,AL,32.0
475920203522,13,45,AO,35.0,1,AL,32.0
475920203522,13,47,AO,35.0,1,AL,32.0
475920203528,13,15,AO,35.0,1,AL,32.0
475920203528,13,28,AO,35.0,1,AL,32.0
475920203536,13,69,AO,35.0,1,AL,32.0
475920203536,13,35,AO,35.0,1,AL,32.0
475920203536,13,52,C2,25.0,1,ZZ,0.0
475920203548,13,71,C2,25.0,1,ZZ,0.0
475920203548,13,18,AO,35.0,1,AL,32.0
475920203548,43,45,OW,22.0,3,WO,22.0
475920203548,13,31,C2,25.0,1,ZZ,0.0
475920203548,13,51,C2,25.0,1,ZZ,0.0
475920203552,13,17,AO,35.0,1,AL,32.0
475920203554,13,38,C2,25.0,1,ZZ,0.0
475920203559,13,37,OW,22.0,1,WO,22.0
475920203559,13,38,OW,22.0,1,OW,22.0
475920203566,13,50,AO,35.0,1,AL,32.0
475920203566,13,59,AO,35.0,1,AL,32.0
475920203568,13,48,AO,35.0,1,AL,32.0
475920203568,13,48,AO,35.0,1,AL,32.0
475920203570,43,24,OW,22.0,3,WO,22.0
475920203570,43,35,OW,22.0,3,AL,58.0
475920203572,13,62,AO,35.0,1,AL,32.0
475920203572,13,43,AO,35.0,1,AL,32.0
475920203572,13,66,AO,35.0,1,AL,32.0
475920203572,13,52,AO,35.0,1,AL,32.0
475920203572,13,63,AO,35.0,1,AL,32.0
475920203572,13,30,AO,35.0,1,AL,32.0
475920203574,13,45,AO,35.0,1,AL,58.0
475920203574,13,46,AO,35.0,1,AL,95.0
475920203574,13,35,C2,25.0,1,ZZ,0.0
475920203574,13,52,C2,25.0,1,ZZ,0.0
475920203574,13,65,AO,35.0,1,AL,32.0
475920203574,13,61,AO,35.0,1,AL,32.0
475920203574,13,41,C2,25.0,1,ZZ,0.0
475920203576,43,20,C4,25.0,1,ZZ,0.0
475920203577,13,47,OW,22.0,1,WO,22.0
475920203584,13,32,AO,35.0,1,AL,32.0
475920203586,13,51,AO,35.0,1,AL,32.0
475920203587,13,36,AO,35.0,1,AL,32.0
475920203587,13,59,AO,35.0,1,AL,32.0
475920203592,13,53,C2,25.0,1,ZZ,0.0
475920203592,13,45,C2,25.0,1,ZZ,0.0
475920203598,13,22,AO,35.0,1,AL,32.0
475920203598,13,53,AO,35.0,1,AL,32.0
475920203598,13,47,AO,35.0,1,AL,95.0
475920203598,13,49,AO,35.0,1,AL,95.0
475920203598,13,43,AO,35.0,1,AL,95.0
475920203598,13,17,AO,35.0,1,AL,95.0
475920203598,13,52,AO,35.0,1,AL,58.0
475920203598,13,15,AO,35.0,1,AL,32.0
475920203600,13,60,AO,35.0,1,AL,32.0
475920203600,13,32,AO,35.0,1,AL,32.0
475920203602,13,32,AO,35.0,1,AL,32.0
475920203602,13,41,AO,35.0,1,AL,32.0
475920203602,13,38,AO,35.0,1,AL,32.0
475920203614,13,46,AO,35.0,1,AL,32.0
475920203614,13,40,AO,35.0,1,AL,32.0
475920203614,13,44,AO,35.0,1,AL,32.0
475920203614,13,37,AO,35.0,1,AL,32.0
475920203615,13,89,AO,35.0,1,AL,32.0
475920203615,13,52,AO,35.0,1,AL,95.0
475920203615,13,20,AO,35.0,1,AL,32.0
475920203617,13,15,AO,35.0,1,AL,32.0
475920203627,13,50,AO,35.0,1,AL,32.0
475920203627,13,50,AO,35.0,1,AL,32.0
475920203627,13,60,AO,35.0,1,AL,95.0
475920203627,13,48,AO,35.0,1,AL,95.0
475920203627,13,28,AO,35.0,1,AL,32.0
475920203627,13,31,AO,35.0,1,AL,32.0
475920203627,13,49,AO,35.0,1,AL,58.0
475920203627,13,48,AO,35.0,1,AL,32.0
475920203627,13,33,AO,35.0,1,AL,32.0
475920203627,13,30,AO,35.0,1,AL,32.0
475920203627,13,35,AO,35.0,1,AL,32.0
475920203627,13,44,AO,35.0,1,AL,58.0
475920203627,13,44,AO,35.0,1,AL,58.0
475920203627,13,53,AO,35.0,1,AL,95.0
475920203627,13,30,AO,35.0,1,AL,32.0
475920203627,13,58,AO,35.0,1,AL,95.0
475920203634,13,50,AO,35.0,1,AL,32.0
475920203637,13,42,AO,35.0,1,AL,32.0
475920203639,13,57,AO,35.0,1,AL,32.0
475920203646,13,26,D2,3.2,1,ZZ,0.0
475920203647,13,29,AO,35.0,1,AL,32.0
475920203657,13,30,OW,22.0,1,WO,22.0
475920203659,13,61,AO,35.0,1,AL,32.0
475920203659,13,48,AO,35.0,1,AL,32.0
475920203660,13,29,AO,35.0,1,AL,32.0
475920203672,13,55,EW,58.0,1,AL,58.0
475920203672,13,45,C2,35.0,1,ZZ,0.0
475920203674,13,42,OW,38.0,1,OW,38.0
475920203674,13,45,C2,25.0,1,ZZ,0.0
475920203684,13,32,AO,35.0,1,AL,32.0
475920203685,13,47,AO,35.0,1,AL,32.0
475920203685,13,59,AO,35.0,1,AL,32.0
475920203686,13,32,AO,35.0,1,AL,32.0
475920203690,43,23,AO,35.0,3,AL,32.0
475920203706,13,45,AO,35.0,1,AL,32.0
475920203706,13,42,AO,35.0,1,AL,32.0
475920203706,13,25,AO,35.0,1,AL,32.0
475920203706,13,50,AO,35.0,1,AL,32.0
475920203711,13,50,AO,35.0,1,AL,32.0
475920203711,13,44,AO,35.0,1,AL,32.0
475920203711,13,38,AO,35.0,1,AL,32.0
475920203711,13,45,AO,35.0,1,AL,32.0
475920203711,13,40,AO,35.0,1,AL,32.0
475920203711,13,35,AO,35.0,1,AL,32.0
475920203712,13,67,AO,35.0,1,AL,32.0
475920203719,13,21,AO,35.0,1,AL,32.0
475920203720,13,23,OW,22.0,1,WO,22.0
475920203722,13,41,AO,35.0,1,AL,32.0
475920203722,13,50,AO,35.0,1,AL,32.0
475920203723,13,15,AO,35.0,1,AL,32.0
475920203723,13,38,AO,35.0,1,AL,32.0
475920203725,13,37,AO,35.0,1,AL,32.0
475920203726,13,52,C2,22.0,1,ZZ,0.0
475920203728,13,19,AO,35.0,1,AL,32.0
475920203728,13,37,AO,35.0,1,AL,32.0
475920203731,13,45,AO,35.0,1,AL,32.0
475920203734,13,40,AO,35.0,1,AL,32.0
475920203742,13,18,AO,35.0,1,AL,32.0
475920203743,13,25,D2,3.2,1,ZZ,0.0
475920203746,13,20,AO,35.0,1,AL,32.0
475920203757,13,25,AO,35.0,1,AL,32.0
475920203757,13,60,AO,35.0,1,AL,32.0
475920203757,13,35,AO,35.0,1,AL,32.0
475920203758,13,36,AO,35.0,1,AL,32.0
475920203758,13,47,AO,35.0,1,AL,32.0
475920203758,13,28,AO,35.0,1,AL,32.0
475920203758,13,35,AO,35.0,1,AL,32.0
475920203766,13,50,AO,35.0,1,AL,32.0
475920203771,13,43,AO,35.0,1,AL,32.0
475920203771,13,58,AO,35.0,1,AL,32.0
475920203772,13,20,AO,35.0,1,AL,32.0
475920203773,43,69,OW,22.0,3,AL,58.0
475920203773,43,21,OW,22.0,3,WO,22.0
475920203776,13,39,AO,35.0,1,AL,32.0
475920203777,43,24,OW,22.0,3,WO,22.0
475920203777,43,26,OW,22.0,3,WO,22.0
475920203782,13,36,AO,35.0,1,AL,32.0
475920203782,13,56,AO,35.0,1,AL,32.0
475920203782,13,41,AO,35.0,1,AL,32.0
475920203782,13,37,AO,35.0,1,AL,32.0
475920203782,13,46,AO,35.0,1,AL,32.0
475920203783,43,10,OW,38.0,3,WO,22.0
475920203785,43,20,AO,35.0,3,AL,32.0
475920203788,13,23,OW,22.0,1,WO,22.0
475920203788,13,40,OW,22.0,1,AL,95.0
475920203788,13,42,OW,22.0,1,AL,95.0
475920203788,13,47,OW,22.0,1,AL,95.0
475920203789,13,35,AO,35.0,1,AL,32.0
475920203789,13,30,AO,35.0,1,AL,32.0
475920203791,13,38,AO,35.0,1,AL,32.0
475920203791,13,54,AO,35.0,1,AL,32.0
475920203797,13,63,OW,22.0,1,AL,32.0
475920203797,13,38,OW,22.0,1,WO,22.0
475920203797,13,45,OW,22.0,1,AL,32.0
475920203799,13,50,AO,35.0,1,AL,32.0
475920203800,13,50,OW,22.0,1,WO,22.0
475920203801,13,53,AO,35.0,1,AL,32.0
475920203807,13,57,AO,35.0,1,AL,32.0
475920203807,13,43,AO,35.0,1,AL,32.0
475920203807,13,40,AO,35.0,1,AL,32.0
475920203807,13,38,AO,35.0,1,AL,32.0
475920203819,13,26,OW,22.0,1,WO,22.0
475920203819,13,22,OW,22.0,1,WO,22.0
475920203821,13,19,AO,35.0,1,AL,32.0
475920203821,13,50,AO,35.0,1,AL,32.0
475920203821,13,59,AO,35.0,1,AL,32.0
475920203821,13,42,AO,35.0,1,AL,32.0
475920203822,13,21,AO,35.0,1,AL,95.0
475920203822,13,31,AO,35.0,1,AL,58.0
475920203822,13,15,AO,35.0,1,AL,32.0
475920203824,43,45,OW,60.0,3,OW,60.0
475920203824,43,41,OW,60.0,3,OW,60.0
475920203824,43,44,OW,60.0,3,WO,60.0
475920203824,43,53,AO,35.0,3,AL,32.0
475920203825,13,16,AO,35.0,1,AL,32.0
475920203829,13,50,OW,22.0,1,WO,22.0
475920203833,43,65,C4,35.0,1,ZZ,0.0
475920203833,43,35,C4,35.0,1,ZZ,0.0
475920203833,43,52,C4,35.0,1,ZZ,0.0
475920203833,43,70,C4,35.0,1,ZZ,0.0
475920203836,13,25,AO,35.0,1,AL,32.0
475920203836,43,25,AO,35.0,3,AL,32.0
475920203839,13,55,OW,22.0,1,AL,58.0
475920203839,13,70,OW,22.0,1,WO,22.0
475920203839,13,24,OW,22.0,1,WO,22.0
475920203846,43,37,OW,22.0,3,WO,22.0
475920203846,43,10,C4,25.0,1,ZZ,0.0
475920203859,13,15,OW,22.0,1,WO,22.0
475920203862,13,11,AO,35.0,1,AL,32.0
475920203862,13,16,AO,35.0,1,AL,32.0
475920203863,13,23,AO,35.0,1,AL,32.0
